Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Erick Dampier,1997,2012,C,6-11,265.0,"July 14, 1975",Mississippi State
Antonio Daniels,1998,2011,G,6-4,195.0,"March 19, 1975",Bowling Green
Dyson Daniels,2023,2024,G,6-8,199.0,"March 17, 2003",
Marquis Daniels,2004,2013,G-F,6-6,200.0,"January 7, 1981",Auburn
Troy Daniels,2014,2020,G,6-4,200.0,"July 15, 1991",VCU
Nate Darling,2021,2021,G,6-6,200.0,"August 30, 1998","UAB, University of Delaware"
Gigi Datome,2014,2015,F,6-8,215.0,"November 27, 1987",
Brandon Davies,2014,2015,F,6-10,240.0,"July 25, 1991",BYU
Anthony Davis,2013,2024,F-C,6-10,253.0,"March 11, 1993",Kentucky
Baron Davis,2000,2012,G,6-3,209.0,"April 13, 1979",UCLA
Deyonta Davis,2017,2019,C-F,6-11,237.0,"December 2, 1996",Michigan State
Ed Davis,2011,2022,F,6-9,218.0,"June 5, 1989",UNC
Glen Davis,2008,2015,F-C,6-9,289.0,"January 1, 1986",LSU
Johnny Davis,2023,2024,G,6-5,196.0,"February 27, 2002",Wisconsin
Josh Davis,2004,2012,F,6-8,235.0,"August 10, 1980",Wyoming
Terence Davis,2020,2023,G,6-4,201.0,"May 16, 1997",Ole Miss
Tyler Davis,2019,2019,C,6-10,266.0,"May 22, 1997",Texas A&M
JD Davison,2023,2024,G,6-1,195.0,"October 3, 2002",Alabama
Andre Dawkins,2015,2015,G,6-5,215.0,"September 19, 1991",Duke
Branden Dawson,2016,2016,F,6-6,225.0,"February 1, 1993",Michigan State
Eric Dawson,2012,2012,F,6-9,250.0,"July 7, 1984",Midwestern State University
Austin Daye,2010,2015,F,6-11,220.0,"June 5, 1988",Gonzaga
Darius Days,2023,2023,F,6-7,245.0,"October 20, 1999",LSU
Nando De Colo,2013,2014,G,6-5,200.0,"June 23, 1987",
Javin DeLaurier,2022,2022,F,6-10,237.0,"April 7, 1998",Duke
DeMar DeRozan,2010,2024,G-F,6-6,220.0,"August 7, 1989",USC
Gabriel Deck,2021,2022,F,6-8,232.0,"February 8, 1995",
Dewayne Dedmon,2014,2023,C,7-0,245.0,"August 12, 1989",USC
Bryce Dejean-Jones,2016,2016,G,6-6,209.0,"August 21, 1992","USC, UNLV, Iowa State"
Sam Dekker,2016,2022,F,6-9,230.0,"May 6, 1994",Wisconsin
Malcolm Delaney,2017,2018,G,6-3,190.0,"March 11, 1989",Virginia Tech
Carlos Delfino,2005,2013,G,6-6,230.0,"August 29, 1982",
Ángel Delgado,2019,2019,C,6-10,245.0,"November 20, 1994",Seton Hall
Matthew Dellavedova,2014,2023,G,6-3,200.0,"September 8, 1990",Saint Mary's
Luol Deng,2005,2019,F,6-9,237.0,"April 16, 1985",Duke
Dexter Dennis,2024,2024,G,6-5,210.0,"February 9, 1999","Wichita State, Texas A&M"
Justin Dentmon,2012,2013,G,5-11,185.0,"September 5, 1985",Washington
Marcus Derrickson,2019,2019,F,6-7,249.0,"February 1, 1996",Georgetown
Donte DiVincenzo,2019,2024,G,6-4,203.0,"January 31, 1997",Villanova
Moussa Diabaté,2023,2024,F,6-11,210.0,"January 21, 2002",Michigan
Mamadi Diakite,2021,2024,F,6-9,228.0,"January 21, 1997",Virginia
Cheick Diallo,2017,2022,F,6-8,219.0,"September 13, 1996",Kansas
Hamidou Diallo,2019,2024,G,6-5,202.0,"July 31, 1998",Kentucky
Boris Diaw,2004,2017,F-C,6-8,250.0,"April 16, 1982",
Gradey Dick,2024,2024,G,6-6,205.0,"November 20, 2003",Kansas
Gorgui Dieng,2014,2023,C,6-10,252.0,"January 18, 1990",Louisville
Ousmane Dieng,2023,2024,F,6-10,216.0,"May 21, 2003",
Spencer Dinwiddie,2015,2024,G,6-5,215.0,"April 6, 1993",Colorado
Ike Diogu,2006,2012,F,6-8,250.0,"September 11, 1983",Arizona State
DeSagana Diop,2002,2013,C,7-0,300.0,"January 30, 1982",
Luka Dončić,2019,2024,G-F,6-7,230.0,"February 28, 1999",
Keyon Dooling,2001,2013,G,6-3,196.0,"May 8, 1980",Missouri
Joey Dorsey,2009,2015,F,6-8,268.0,"December 16, 1983",Memphis
Tyler Dorsey,2018,2023,G,6-5,183.0,"February 18, 1996",Oregon
Luguentz Dort,2020,2024,G,6-3,215.0,"April 19, 1999",Arizona State
Ayo Dosunmu,2022,2024,G,6-5,200.0,"January 17, 2000",Illinois
Damyean Dotson,2018,2022,G,6-5,210.0,"May 6, 1994","Oregon, Houston"
Devon Dotson,2021,2023,G,6-2,185.0,"August 2, 1999",Kansas
Toney Douglas,2010,2017,G,6-2,195.0,"March 16, 1986","Auburn, Florida State"
Chris Douglas-Roberts,2009,2015,G,6-7,200.0,"January 8, 1987",Memphis
Sekou Doumbouya,2020,2022,F,6-8,230.0,"December 23, 2000",
Zabian Dowdell,2011,2011,G,6-3,191.0,"September 10, 1984",Virginia Tech
Jeff Dowtin,2022,2024,G,6-3,185.0,"May 10, 1997",Rhode Island
Milton Doyle,2018,2018,G,6-4,185.0,"October 31, 1993",Loyola Chicago
PJ Dozier,2018,2023,G,6-6,205.0,"October 25, 1996",South Carolina
Goran Dragić,2009,2023,G,6-4,190.0,"May 6, 1986",
Zoran Dragić,2015,2015,G-F,6-5,200.0,"June 22, 1989",
Henri Drell,2024,2024,G,6-9,187.0,"April 25, 2000",
Larry Drew II,2015,2018,G,6-2,180.0,"March 5, 1990","UNC, UCLA"
Andre Drummond,2013,2024,C,6-11,279.0,"August 10, 1993",UConn
Chris Duarte,2022,2024,G,6-6,190.0,"June 13, 1997",Oregon
Jared Dudley,2008,2021,F-G,6-6,237.0,"July 10, 1985",Boston College
Chris Duhon,2005,2013,G,6-1,185.0,"August 31, 1982",Duke
Duje Dukan,2016,2016,F,6-9,220.0,"December 4, 1991",Wisconsin
David Duke Jr.,2022,2023,G,6-5,205.0,"October 13, 1999",Providence
Tim Duncan*,1998,2016,F-C,6-11,250.0,"April 25, 1976",Wake Forest
Mike Dunleavy,2003,2017,F-G,6-9,230.0,"September 15, 1980",Duke
Kris Dunn,2017,2024,G,6-3,205.0,"March 18, 1994",Providence
Ronald Dupree,2004,2011,F,6-7,209.0,"January 26, 1981",LSU
Kevin Durant,2008,2024,F-G,6-11,240.0,"September 29, 1988",Texas
Jalen Duren,2023,2024,C,6-10,250.0,"November 18, 2003",Memphis
Trevon Duval,2019,2019,G,6-2,189.0,"August 3, 1998",Duke
Jerome Dyson,2012,2012,G,6-3,180.0,"May 1, 1987",UConn
Cleanthony Early,2015,2016,F,6-8,210.0,"April 17, 1991",Wichita State
Tari Eason,2023,2024,F,6-8,216.0,"May 10, 2001","Cincinnati, LSU"
Devin Ebanks,2011,2013,F,6-9,215.0,"October 28, 1989",West Virginia
Jaime Echenique,2022,2022,C,6-11,258.0,"April 27, 1997","Trinity Valley CC, Wichita State"
Jarell Eddie,2016,2018,G-F,6-7,218.0,"October 30, 1991",Virginia Tech
Anthony Edwards,2021,2024,G-F,6-4,225.0,"August 5, 2001",Georgia
Carsen Edwards,2020,2022,G,5-11,200.0,"March 12, 1998",Purdue
Kessler Edwards,2022,2024,F,6-8,215.0,"August 9, 2000",Pepperdine
Rob Edwards,2022,2022,G,6-5,205.0,"January 20, 1997","Cleveland State University, Arizona State"
Shane Edwards,2014,2014,F,6-7,220.0,"May 31, 1987",Little Rock
Vince Edwards,2019,2019,F,6-8,225.0,"April 5, 1996",Purdue
CJ Elleby,2021,2022,F,6-6,200.0,"June 16, 2000",Washington State
Henry Ellenson,2017,2021,F,6-10,240.0,"January 13, 1997",Marquette
Wayne Ellington,2010,2022,G,6-4,207.0,"November 29, 1987",UNC
Keon Ellis,2023,2024,G,6-6,175.0,"January 8, 2000","Florida SouthWestern State College, Alabama"
Monta Ellis,2006,2017,G,6-3,185.0,"October 26, 1985",
Francisco Elson,2004,2012,C,7-0,235.0,"February 28, 1976",California
Melvin Ely,2003,2014,C,6-10,260.0,"May 2, 1978",Fresno State
Joel Embiid,2017,2024,C,7-0,280.0,"March 16, 1994",Kansas
Andre Emmett,2005,2012,F,6-5,230.0,"August 27, 1982",Texas Tech
Kim English,2013,2013,G,6-6,200.0,"September 24, 1988",Missouri
James Ennis III,2015,2022,F,6-6,215.0,"July 1, 1990",Cal State Long Beach
Tyler Ennis,2015,2018,G,6-3,194.0,"August 24, 1994",Syracuse
Semih Erden,2011,2012,C,7-0,240.0,"July 28, 1986",
Drew Eubanks,2019,2024,F,6-9,245.0,"February 1, 1997",Oregon State
Jacob Evans,2019,2020,G-F,6-4,210.0,"June 18, 1997",Cincinnati
Jawun Evans,2018,2019,G,6-0,185.0,"July 26, 1996",Oklahoma State
Jeremy Evans,2011,2018,F,6-9,200.0,"October 24, 1987",Western Kentucky
Maurice Evans,2002,2012,G,6-5,220.0,"November 8, 1978","Wichita State, Texas"
Reggie Evans,2003,2015,F,6-8,245.0,"May 18, 1980",Iowa
Tyreke Evans,2010,2019,G-F,6-6,220.0,"September 19, 1989",Memphis
Tosan Evbuomwan,2024,2024,F,6-8,219.0,"February 16, 2001",Princeton
Patrick Ewing,2011,2011,F,6-8,235.0,"May 20, 1984","Indiana, Georgetown"
Dante Exum,2015,2024,G,6-5,214.0,"July 13, 1995",
Christian Eyenga,2011,2012,F,6-5,210.0,"June 22, 1989",
Festus Ezeli,2013,2016,C,6-11,255.0,"October 21, 1989",Vanderbilt
Tacko Fall,2020,2022,C,7-6,311.0,"December 10, 1995",Central Florida
Kenneth Faried,2012,2019,F-C,6-8,220.0,"November 19, 1989",Morehead State University
Jordan Farmar,2007,2017,G,6-2,180.0,"November 30, 1986",UCLA
Vítor Luiz Faverani,2014,2014,C,6-11,260.0,"May 5, 1988",
Derrick Favors,2011,2022,F-C,6-9,265.0,"July 15, 1991",Georgia Tech
Kay Felder,2017,2018,G,5-9,176.0,"March 29, 1995",Oakland
Cristiano Felício,2016,2021,F-C,6-11,270.0,"July 7, 1992",
Carrick Felix,2014,2014,G,6-6,201.0,"August 17, 1990",Arizona State
Raymond Felton,2006,2019,G,6-1,205.0,"June 26, 1984",UNC
Terrance Ferguson,2018,2021,G-F,6-6,190.0,"May 17, 1998",
Rudy Fernández,2009,2012,G,6-6,185.0,"April 4, 1985",
Bruno Fernando,2020,2024,F,6-9,240.0,"August 15, 1998",Maryland
Yogi Ferrell,2017,2021,G,6-0,178.0,"May 9, 1993",Indiana
Kyrylo Fesenko,2008,2012,C,7-1,288.0,"December 24, 1986",
Landry Fields,2011,2015,F,6-7,210.0,"June 27, 1988",Stanford
Dorian Finney-Smith,2017,2024,F,6-7,220.0,"May 4, 1993",Florida
Derek Fisher,1997,2014,G,6-1,200.0,"August 9, 1974",Little Rock
Malik Fitts,2021,2022,F,6-8,230.0,"July 4, 1997","South Florida, Saint Mary's"
Adam Flagler,2024,2024,G,6-3,185.0,"December 1, 1999","Presbyterian College, Baylor"
Jonny Flynn,2010,2012,G,6-0,185.0,"February 6, 1989",Syracuse
Malachi Flynn,2021,2024,G,6-1,175.0,"May 10, 1998","Washington State, San Diego State"
Simone Fontecchio,2023,2024,F,6-8,209.0,"December 9, 1995",
Jeff Foote,2012,2012,C,7-0,265.0,"July 14, 1987",Cornell
Bryn Forbes,2017,2023,G,6-2,205.0,"July 23, 1993",Michigan State
Gary Forbes,2011,2012,F,6-7,220.0,"February 25, 1985","Virginia, UMass"
Aleem Ford,2022,2022,F,6-8,220.0,"December 22, 1997",Wisconsin
Jordan Ford,2024,2024,G,6-1,175.0,"May 26, 1998",Saint Mary's
T.J. Ford,2004,2012,G,6-0,165.0,"March 24, 1983",Texas
Trent Forrest,2021,2024,G,6-4,210.0,"June 12, 1998",Florida State
Courtney Fortson,2012,2012,G,5-11,185.0,"May 23, 1988",Arkansas
Jeff Foster,2000,2012,F-C,6-11,236.0,"January 16, 1977",Texas State University
Michael Foster Jr.,2023,2023,F,6-8,250.0,"January 16, 2003",
Evan Fournier,2013,2024,G-F,6-6,205.0,"October 29, 1992",
De'Aaron Fox,2018,2024,G,6-3,185.0,"December 20, 1997",Kentucky
Randy Foye,2007,2017,G,6-4,213.0,"September 24, 1983",Villanova
Jamaal Franklin,2014,2015,G,6-5,191.0,"July 21, 1991",San Diego State
Robert Franks,2021,2021,F,6-7,225.0,"December 18, 1996",Washington State
Melvin Frazier,2019,2022,G,6-5,215.0,"August 30, 1996",Tulane
Michael Frazier,2020,2020,G,6-3,200.0,"March 8, 1994",Florida
Tim Frazier,2015,2022,G,6-0,170.0,"November 1, 1990",Penn State
Jimmer Fredette,2012,2019,G,6-2,195.0,"February 25, 1989",BYU
Enes Freedom,2012,2022,C,6-10,250.0,"May 20, 1992",Kentucky
Joel Freeland,2013,2015,F-C,6-10,250.0,"February 7, 1987",
Javon Freeman-Liberty,2024,2024,G,6-4,180.0,"October 20, 1999","Valparaiso, DePaul"
Channing Frye,2006,2019,C-F,7-0,255.0,"May 17, 1983",Arizona
Alex Fudge,2024,2024,F,6-8,200.0,"May 6, 2003","LSU, Florida"
Markelle Fultz,2018,2024,G,6-4,209.0,"May 29, 1998",Washington
Andrew Funk,2024,2024,G,6-5,200.0,"September 21, 1999","Bucknell, Penn State"
Wenyen Gabriel,2020,2024,F,6-9,205.0,"March 26, 1997",Kentucky
Dan Gadzuric,2003,2012,C,6-11,240.0,"February 2, 1978",UCLA
Daniel Gafford,2020,2024,C-F,6-10,234.0,"October 1, 1998",Arkansas
Sundiata Gaines,2010,2012,G,6-1,185.0,"April 18, 1986",Georgia
Danilo Gallinari,2009,2024,F,6-10,233.0,"August 8, 1988",
Langston Galloway,2015,2022,G,6-1,200.0,"December 9, 1991",Saint Joseph's
Francisco García,2006,2015,F-G,6-7,195.0,"December 31, 1981",Louisville
Patricio Garino,2017,2017,G-F,6-6,210.0,"May 17, 1993",George Washington
Darius Garland,2020,2024,G,6-1,192.0,"January 26, 2000",Vanderbilt
Kevin Garnett*,1996,2016,F-C,6-11,240.0,"May 19, 1976",
Billy Garrett,2019,2019,G,6-6,213.0,"October 16, 1994",DePaul
Diante Garrett,2013,2014,G,6-4,190.0,"November 3, 1988",Iowa State
Marcus Garrett,2022,2022,G,6-5,205.0,"November 9, 1998",Kansas
Usman Garuba,2022,2024,F,6-8,220.0,"March 9, 2002",
Luka Garza,2022,2024,F-C,6-10,235.0,"December 27, 1998",Iowa
Marc Gasol,2009,2021,C,6-11,255.0,"January 29, 1985",
Pau Gasol*,2002,2019,C-F,7-0,250.0,"July 6, 1980",
Kaiser Gates,2024,2024,F,6-8,217.0,"November 8, 1996",Xavier
Rudy Gay,2007,2023,F,6-8,250.0,"August 17, 1986",UConn
Michael Gbinije,2017,2017,G,6-7,200.0,"June 5, 1992","Duke, Syracuse"
Alonzo Gee,2010,2017,G,6-6,225.0,"May 29, 1987",Alabama
Mickaël Gelabale,2007,2013,F,6-7,215.0,"May 22, 1983",
Keyonte George,2024,2024,G,6-4,185.0,"November 8, 2003",Baylor
Paul George,2011,2024,F-G,6-8,220.0,"May 2, 1990",Fresno State
Marcus Georges-Hunt,2017,2018,G,6-5,216.0,"March 28, 1994",Georgia Tech
Daniel Gibson,2007,2013,G,6-2,190.0,"February 27, 1986",Texas
Jonathan Gibson,2017,2018,G,6-2,185.0,"November 8, 1987",New Mexico State
Taj Gibson,2010,2024,F-C,6-9,232.0,"June 24, 1985",USC
Josh Giddey,2022,2024,G,6-8,210.0,"October 10, 2002",
Harry Giles,2019,2024,F-C,6-11,240.0,"April 22, 1998",Duke
Shai Gilgeous-Alexander,2019,2024,G,6-6,180.0,"July 12, 1998",Kentucky
Anthony Gill,2021,2024,F,6-7,230.0,"October 17, 1992","South Carolina, Virginia"
Collin Gillespie,2024,2024,G,6-1,195.0,"June 25, 1999",Villanova
Freddie Gillespie,2021,2022,F,6-9,245.0,"June 14, 1997","Carleton College, Baylor"
Jacob Gilyard,2023,2024,G,5-9,160.0,"July 14, 1998",Richmond
Manu Ginóbili*,2003,2018,G,6-6,205.0,"July 28, 1977",
Mickell Gladness,2012,2012,C,6-11,220.0,"July 26, 1986",Alabama A&M University
Rudy Gobert,2014,2024,C,7-1,258.0,"June 26, 1992",
Ryan Gomes,2006,2014,F,6-7,250.0,"September 1, 1982",Providence
Drew Gooden,2003,2016,F,6-10,250.0,"September 24, 1981",Kansas
Archie Goodwin,2014,2017,G,6-5,200.0,"August 17, 1994",Kentucky
Brandon Goodwin,2019,2022,G,6-0,180.0,"October 2, 1995","Central Florida, Florida Gulf Coast"
Jordan Goodwin,2022,2024,G,6-3,200.0,"October 23, 1998",Saint Louis
Aaron Gordon,2015,2024,F,6-8,235.0,"September 16, 1995",Arizona
Ben Gordon,2005,2015,G,6-3,200.0,"April 4, 1983",UConn
Drew Gordon,2015,2015,F,6-9,245.0,"July 12, 1990","UCLA, New Mexico"
Eric Gordon,2009,2024,G-F,6-3,215.0,"December 25, 1988",Indiana
Marcin Gortat,2008,2019,C-F,6-11,240.0,"February 17, 1984",
Andrew Goudelock,2012,2016,G,6-3,200.0,"December 7, 1988",College of Charleston
Devonte' Graham,2019,2024,G,6-1,195.0,"February 22, 1995",Kansas
Joey Graham,2006,2011,F,6-7,225.0,"June 11, 1982","Central Florida, Oklahoma State"
Stephen Graham,2006,2011,G,6-6,215.0,"June 11, 1982","Central Florida, Oklahoma State"
Treveon Graham,2017,2020,G,6-5,219.0,"October 28, 1993",VCU
Danny Granger,2006,2015,F,6-9,222.0,"April 20, 1983","Bradley, New Mexico"
Jerami Grant,2015,2024,F,6-7,210.0,"March 12, 1994",Syracuse
Jerian Grant,2016,2020,G,6-4,205.0,"October 9, 1992",Notre Dame
Donte Grantham,2019,2019,F,6-8,215.0,"March 19, 1995",Clemson
Hassani Gravett,2022,2022,G,6-2,188.0,"July 16, 1996","Pensacola State, South Carolina"
Aaron Gray,2008,2014,C,7-0,270.0,"December 7, 1984",Pitt
Josh Gray,2018,2020,G,6-0,180.0,"September 9, 1993",LSU
RaiQuan Gray,2023,2023,F,6-8,260.0,"July 7, 1999",Florida State
A.J. Green,2023,2024,G,6-4,200.0,"September 27, 1999",University of Northern Iowa
Danny Green,2010,2024,G-F,6-6,215.0,"June 22, 1987",UNC
Draymond Green,2013,2024,F,6-6,230.0,"March 4, 1990",Michigan State
Erick Green,2015,2016,G,6-4,185.0,"May 9, 1991",Virginia Tech
Gerald Green,2006,2019,G-F,6-6,205.0,"January 26, 1986",
Jalen Green,2022,2024,G,6-4,178.0,"February 9, 2002",
JaMychal Green,2015,2023,F,6-8,227.0,"June 21, 1990",Alabama
Javonte Green,2020,2024,F,6-4,205.0,"July 23, 1993",Radford
Jeff Green,2008,2024,F,6-8,235.0,"August 28, 1986",Georgetown
Josh Green,2021,2024,G-F,6-5,200.0,"November 16, 2000",Arizona
Willie Green,2004,2015,G,6-4,200.0,"July 28, 1981",Detroit Mercy
Donté Greene,2009,2012,F,6-11,226.0,"February 21, 1988",Syracuse
Orien Greene,2006,2011,G,6-4,208.0,"February 4, 1982","Florida, Louisiana"
AJ Griffin,2023,2024,F,6-6,222.0,"August 25, 2003",Duke
Blake Griffin,2011,2023,F-C,6-9,250.0,"March 16, 1989",Oklahoma
Quentin Grimes,2022,2024,G,6-5,205.0,"May 8, 2000","Kansas, Houston"
Marko Gudurić,2020,2020,G,6-6,201.0,"March 8, 1995",
Mouhamadou Gueye,2024,2024,F,6-9,210.0,"July 6, 1998","Monroe Community College, Stony Brook University, Pitt"
Mouhamed Gueye,2024,2024,F,6-11,210.0,"November 9, 2002",Washington State
Jorge Gutiérrez,2014,2016,G,6-3,191.0,"December 27, 1988",California
Kyle Guy,2020,2022,G,6-1,167.0,"August 11, 1997",Virginia
Rui Hachimura,2020,2024,F,6-8,230.0,"February 8, 1998",Gonzaga
Hamed Haddadi,2009,2013,C,7-2,254.0,"May 19, 1985",
Ashton Hagans,2021,2024,G,6-3,190.0,"July 8, 1999",Kentucky
P.J. Hairston,2015,2016,G-F,6-6,230.0,"December 24, 1992",UNC
Tyrese Haliburton,2021,2024,G,6-5,185.0,"February 29, 2000",Iowa State
Devon Hall,2020,2020,G,6-2,215.0,"July 7, 1995",Virginia
Donta Hall,2020,2021,F,6-9,232.0,"August 7, 1997",Alabama
Jordan Hall,2023,2023,G-F,6-7,215.0,"January 14, 2002",Saint Joseph's
Josh Hall,2021,2021,F,6-9,190.0,"October 8, 2000",
Tyler Hall,2022,2022,G,6-5,209.0,"March 25, 1997",Montana State
Daniel Hamilton,2018,2019,G-F,6-7,195.0,"August 8, 1995",UConn
Jordan Hamilton,2012,2016,G-F,6-7,220.0,"October 6, 1990",Texas
Justin Hamilton,2014,2017,C,7-0,260.0,"April 1, 1990","Iowa State, LSU"
Richard Hamilton,2000,2013,G-F,6-6,185.0,"February 14, 1978",UConn
A.J. Hammons,2017,2017,C,7-0,260.0,"August 27, 1992",Purdue
R.J. Hampton,2021,2024,G,6-4,175.0,"February 7, 2001",
Dusty Hannahs,2019,2020,G,6-3,210.0,"September 2, 1993","Texas Tech, Arkansas"
Ben Hansbrough,2013,2013,G,6-3,203.0,"December 23, 1987","Mississippi State, Notre Dame"
Tyler Hansbrough,2010,2016,F,6-9,250.0,"November 3, 1985",UNC
Luke Harangody,2011,2012,F,6-8,246.0,"January 2, 1988",Notre Dame
Tim Hardaway Jr.,2014,2024,G,6-5,205.0,"March 16, 1992",Michigan
James Harden,2010,2024,G,6-5,220.0,"August 26, 1989",Arizona State
Jaden Hardy,2023,2024,G,6-4,198.0,"July 5, 2002",
Maurice Harkless,2013,2022,F-G,6-7,220.0,"May 11, 1993",St. John's
Jared Harper,2020,2022,G,5-10,175.0,"September 14, 1997",Auburn
Justin Harper,2012,2017,F,6-10,225.0,"August 30, 1989",Richmond
Ron Harper Jr.,2023,2024,G-F,6-6,245.0,"April 12, 2000",Rutgers University
Montrezl Harrell,2016,2023,F-C,6-7,240.0,"January 26, 1994",Louisville
Josh Harrellson,2012,2014,C,6-10,275.0,"February 12, 1989",Kentucky
Al Harrington,1999,2014,F,6-9,230.0,"February 17, 1980",
Devin Harris,2005,2019,G,6-3,185.0,"February 27, 1983",Wisconsin
Elias Harris,2014,2014,F,6-8,239.0,"July 6, 1989",Gonzaga
Gary Harris,2015,2024,G,6-4,210.0,"September 14, 1994",Michigan State
Jalen Harris,2021,2021,G,6-5,195.0,"August 14, 1998","Nevada, Louisiana Tech"
Joe Harris,2015,2024,G,6-6,220.0,"September 6, 1991",Virginia
Kevon Harris,2023,2024,G,6-5,216.0,"June 24, 1997",Stephen F. Austin
Manny Harris,2011,2017,G,6-5,185.0,"September 21, 1989",Michigan
Mike Harris,2008,2014,F,6-6,240.0,"June 15, 1983",Rice University
Terrel Harris,2012,2013,G,6-5,190.0,"August 10, 1987",Oklahoma State
Tobias Harris,2012,2024,F,6-8,226.0,"July 15, 1992",Tennessee
Aaron Harrison,2016,2018,G,6-6,210.0,"October 28, 1994",Kentucky
Andrew Harrison,2017,2019,G,6-6,213.0,"October 28, 1994",Kentucky
Shaquille Harrison,2018,2024,G,6-4,190.0,"October 6, 1993",Tulsa
Josh Hart,2018,2024,G,6-4,215.0,"March 6, 1995",Villanova
Isaiah Hartenstein,2019,2024,F,7-0,250.0,"May 5, 1998",
Udonis Haslem,2004,2023,F-C,6-8,235.0,"June 9, 1980",Florida
Sam Hauser,2022,2024,F,6-8,215.0,"December 8, 1997","Marquette, Virginia"
Spencer Hawes,2008,2017,C-F,7-1,245.0,"April 28, 1988",Washington
Jordan Hawkins,2024,2024,G,6-5,195.0,"April 29, 2002",UConn
Chuck Hayes,2006,2016,F-C,6-6,240.0,"June 11, 1983",Kentucky
Jaxson Hayes,2020,2024,F,7-0,220.0,"May 23, 2000",Texas
Killian Hayes,2021,2024,G,6-5,195.0,"July 27, 2001",
Nigel Hayes,2018,2018,F,6-8,254.0,"December 16, 1994",Wisconsin
Gordon Hayward,2011,2024,F-G,6-7,225.0,"March 23, 1990",Butler
Lazar Hayward,2011,2013,F,6-6,225.0,"November 26, 1986",Marquette
Brendan Haywood,2002,2015,C,7-0,268.0,"November 27, 1979",UNC
Luther Head,2006,2011,G,6-3,185.0,"November 26, 1982",Illinois
Reggie Hearn,2018,2018,G,6-5,210.0,"August 14, 1991",Northwestern
Gerald Henderson,2010,2017,G,6-5,215.0,"December 9, 1987",Duke
Scoot Henderson,2024,2024,G,6-3,202.0,"February 3, 2004",
Taylor Hendricks,2024,2024,G,6-9,210.0,"November 22, 2003",Central Florida
Aaron Henry,2022,2022,F,6-6,210.0,"August 30, 1999",Michigan State
Myke Henry,2018,2018,F,6-6,210.0,"December 23, 1992",DePaul
Xavier Henry,2011,2015,G,6-6,220.0,"March 15, 1991",Kansas
John Henson,2013,2020,C-F,6-9,219.0,"December 28, 1990",UNC
Dewan Hernandez,2020,2020,F,6-10,235.0,"December 9, 1996",Miami (FL)
Juancho Hernangómez,2017,2023,F,6-9,214.0,"September 28, 1995",
Willy Hernangómez,2017,2023,C,6-11,250.0,"May 27, 1994",
Tyler Herro,2020,2024,G,6-5,195.0,"January 20, 2000",Kentucky
Kevin Hervey,2020,2020,F,6-9,230.0,"July 9, 1996",UT Arlington
Mario Hezonja,2016,2020,F-G,6-8,220.0,"February 25, 1995",
Roy Hibbert,2009,2017,C,7-2,270.0,"December 11, 1986",Georgetown
Isaiah Hicks,2018,2019,F,6-9,230.0,"July 24, 1994",UNC
J.J. Hickson,2009,2016,F-C,6-9,242.0,"September 4, 1988",NC State
Buddy Hield,2017,2024,G-F,6-4,220.0,"December 17, 1992",Oklahoma
Cory Higgins,2012,2013,G,6-5,180.0,"June 14, 1989",Colorado
Haywood Highsmith,2019,2024,F,6-7,220.0,"December 9, 1996",Wheeling University
Nenê,2003,2019,F-C,6-11,250.0,"September 13, 1982",
George Hill,2009,2023,G,6-4,188.0,"May 4, 1986",IUPUI
Grant Hill*,1995,2013,F-G,6-8,225.0,"October 5, 1972",Duke
Jordan Hill,2010,2017,C-F,6-10,235.0,"July 27, 1987",Arizona
Malcolm Hill,2022,2023,F,6-6,220.0,"October 26, 1995",Illinois
Solomon Hill,2014,2022,F,6-6,226.0,"March 18, 1991",Arizona
Darrun Hilliard,2016,2018,G,6-6,205.0,"April 13, 1993",Villanova
Kirk Hinrich,2004,2016,G,6-4,190.0,"January 2, 1981",Kansas
Nate Hinton,2021,2024,G,6-5,210.0,"June 8, 1999",Houston
Jaylen Hoard,2020,2022,F,6-8,216.0,"March 30, 1999",Wake Forest
Darington Hobson,2012,2012,G,6-7,210.0,"September 29, 1987",New Mexico
D'Moi Hodge,2024,2024,G,6-4,188.0,"December 20, 1998","State College of Florida, Manatee-Sarasota, Cleveland State University, Missouri"
Aaron Holiday,2019,2024,G,6-0,185.0,"September 30, 1996",UCLA
Jrue Holiday,2010,2024,G,6-4,205.0,"June 12, 1990",UCLA
Justin Holiday,2013,2024,F,6-6,180.0,"April 5, 1989",Washington
John Holland,2018,2019,G-F,6-5,205.0,"November 6, 1988",Boston University
Ryan Hollins,2007,2016,C,7-0,240.0,"October 10, 1984",UCLA
Rondae Hollis-Jefferson,2016,2021,F,6-6,217.0,"January 3, 1995",Arizona
Richaun Holmes,2016,2024,C-F,6-10,235.0,"October 15, 1993",Bowling Green
Chet Holmgren,2024,2024,F-C,7-1,195.0,"May 1, 2002",Gonzaga
Tyler Honeycutt,2012,2013,F,6-8,188.0,"July 15, 1990",UCLA
Rodney Hood,2015,2022,G-F,6-8,208.0,"October 20, 1992","Mississippi State, Duke"
Jalen Hood-Schifino,2024,2024,G,6-6,215.0,"June 19, 2003",Indiana
Scotty Hopson,2014,2022,G,6-7,204.0,"August 8, 1989",Tennessee
Al Horford,2008,2024,C-F,6-9,240.0,"June 3, 1986",Florida
